,UTC,Date,Actual Height,Expected Height
38,2017-05-20T00:40:00.0870+00:00,2017-05-20,0.679704,0.9066032802513
39,2017-05-20T01:10:00.2870+00:00,2017-05-20,0.749808,0.9085204268897495
26,2017-05-31T19:10:00.1080+00:00,2017-05-31,0.810768,0.8747617052340857
27,2017-05-31T19:40:00.2080+00:00,2017-05-31,0.810768,0.7257209199040471
68,2017-06-16T21:10:00.1970+00:00,2017-06-16,0.841248,0.8243775761483478
69,2017-06-16T21:40:00.2680+00:00,2017-06-16,0.920496,0.9397881986540568
56,2017-06-18T23:10:00.1900+00:00,2017-06-18,0.8991600000000001,1.0166500127529892
57,2017-06-18T23:40:00.4410+00:00,2017-06-18,1.0789920000000002,1.1639872021637538
55,2017-06-22T19:40:00.1790+00:00,2017-06-22,0.9296399999999999,1.0723482770224013
104,2017-06-23T17:40:00.0040+00:00,2017-06-23,0.7315200000000001,1.060477381034655
11,2017-06-23T18:40:00.0150+00:00,2017-06-23,0.810768,0.7835543200014534
33,2017-06-23T18:40:00.0150+00:00,2017-06-23,0.810768,0.7835543200014534
12,2017-06-23T19:10:00.3650+00:00,2017-06-23,0.7985760000000001,0.732453480178612
34,2017-06-23T19:10:00.3650+00:00,2017-06-23,0.7985760000000001,0.732453480178612
35,2017-06-23T19:40:00.2650+00:00,2017-06-23,0.7802880000000001,1.8008013740023885
13,2017-06-23T19:40:00.2650+00:00,2017-06-23,0.7802880000000001,1.8008013740023885
65,2017-06-24T21:40:00.1700+00:00,2017-06-24,0.9113520000000002,1.1100095112231436
102,2017-06-24T21:40:00.1700+00:00,2017-06-24,0.9113520000000002,1.1100095112231436
113,2017-06-26T23:10:00.0520+00:00,2017-06-26,0.6888479999999999,0.6830022722290545
109,2017-06-26T23:10:00.1030+00:00,2017-06-26,0.6888479999999999,0.5596161973212981
110,2017-06-26T23:40:00.3010+00:00,2017-06-26,0.70104,1.1173186592914872
76,2017-06-28T00:40:00.1680+00:00,2017-06-28,0.920496,1.1942382601723134
78,2017-06-28T00:40:00.2300+00:00,2017-06-28,0.920496,1.063045811348263
123,2017-06-28T00:40:00.2300+00:00,2017-06-28,0.920496,1.063045811348263
79,2017-06-28T01:10:00.3800+00:00,2017-06-28,0.920496,1.0369095514566373
124,2017-06-28T01:10:00.3800+00:00,2017-06-28,0.920496,1.0369095514566373
77,2017-06-28T01:10:00.3960+00:00,2017-06-28,0.920496,0.5954615137976127
59,2017-06-28T22:10:00.0310+00:00,2017-06-28,0.7985760000000001,1.002440170101786
61,2017-06-28T22:10:00.1920+00:00,2017-06-28,0.7985760000000001,0.9678632296479313
62,2017-06-30T01:40:00.1380+00:00,2017-06-30,0.6096,1.0228264448916446
96,2017-06-30T01:40:00.1380+00:00,2017-06-30,0.6096,1.0228264448916446
97,2017-06-30T02:10:00.3880+00:00,2017-06-30,0.5394960000000001,0.6036299993852676
63,2017-06-30T02:10:00.3880+00:00,2017-06-30,0.5394960000000001,0.6036299993852676
82,2017-07-02T02:10:00.0170+00:00,2017-07-02,0.6888479999999999,0.986680311411293
111,2017-07-02T02:10:00.0170+00:00,2017-07-02,0.6888479999999999,0.986680311411293
83,2017-07-02T02:40:00.2680+00:00,2017-07-02,0.70104,0.7473938728676961
112,2017-07-02T02:40:00.2680+00:00,2017-07-02,0.70104,0.7473938728676961
49,2017-07-21T01:10:00.0350+00:00,2017-07-21,0.679704,1.1105503510267267
101,2017-08-02T17:40:00.0380+00:00,2017-08-02,0.6309359999999999,0.7005840916424813
8,2017-08-08T16:40:13.8180+00:00,2017-08-08,0.920496,1.3022737053816265
9,2017-08-08T17:10:00.2530+00:00,2017-08-08,0.9113520000000002,0.6886697214759954
10,2017-08-08T17:40:00.2880+00:00,2017-08-08,0.890016,0.19936163625647474
105,2017-08-10T16:40:00.0920+00:00,2017-08-10,0.8808720000000001,0.5486745450733101
107,2017-08-10T17:40:00.2980+00:00,2017-08-10,0.8199120000000001,0.007852901881442165
51,2017-08-23T16:10:00.0940+00:00,2017-08-23,0.710184,1.3159142340711085
52,2017-08-23T16:40:00.4300+00:00,2017-08-23,0.749808,1.0212374220163714
19,2017-08-28T21:10:00.2140+00:00,2017-08-28,0.6888479999999999,1.5789064053362099
70,2017-08-29T18:37:45.6100+00:00,2017-08-29,0.70104,0.7353569904666752
71,2017-08-29T19:10:00.0980+00:00,2017-08-29,0.710184,0.6248448157674913
93,2017-09-07T18:40:00.0860+00:00,2017-09-07,0.789432,0.9416261210118728
94,2017-09-07T19:10:00.3990+00:00,2017-09-07,0.810768,0.9314410434979523
98,2017-09-08T23:40:00.2010+00:00,2017-09-08,0.7406640000000001,0.9934385094345268
46,2017-09-09T18:10:00.1310+00:00,2017-09-09,0.810768,0.7363799077422879
0,2017-09-09T18:10:00.1310+00:00,2017-09-09,0.810768,0.7363799077422879
1,2017-09-09T18:40:00.3310+00:00,2017-09-09,0.8199120000000001,0.9907356937662808
47,2017-09-09T18:40:00.3310+00:00,2017-09-09,0.8199120000000001,0.9907356937662808
16,2017-09-19T20:10:00.1420+00:00,2017-09-19,0.841248,0.9077818385984431
24,2017-09-21T00:10:00.0400+00:00,2017-09-21,0.9113520000000002,0.5689451987330658
25,2017-09-21T00:40:00.3680+00:00,2017-09-21,0.810768,0.7618997199725124
60,2017-09-21T21:11:27.0000+00:00,2017-09-21,1.0911840000000002,1.2588323406784792
72,2017-10-04T17:40:00.0870+00:00,2017-10-04,0.5913120000000001,1.2796566881747022
53,2017-10-10T16:38:24.9450+00:00,2017-10-10,0.618744,0.704997756060985
54,2017-10-10T17:10:00.1900+00:00,2017-10-10,0.67056,0.6765356338182169
73,2017-10-11T23:10:00.1600+00:00,2017-10-11,0.54864,1.381679108204735
121,2017-10-20T23:10:00.0690+00:00,2017-10-20,1.4691360000000002,0.7958219923573866
42,2017-10-20T23:10:00.0690+00:00,2017-10-20,1.4691360000000002,0.7958219923573866
122,2017-10-20T23:40:00.3250+00:00,2017-10-20,1.5605760000000002,0.8890858661541658
43,2017-10-20T23:40:00.3250+00:00,2017-10-20,1.5605760000000002,0.8890858661541658
125,2017-10-26T17:40:00.1280+00:00,2017-10-26,0.521208,0.5212744923227994
126,2017-10-26T18:10:00.3060+00:00,2017-10-26,0.560832,0.6057408925842154
64,2017-12-04T18:56:05.1310+00:00,2017-12-04,0.8686800000000001,0.775279492660033
84,2017-12-04T19:05:11.7580+00:00,2017-12-04,0.8686800000000001,0.9564168814536638
85,2017-12-04T19:40:00.0580+00:00,2017-12-04,0.920496,0.9082611977439923
40,2017-12-20T17:10:00.2450+00:00,2017-12-20,0.469392,1.1699371024657346
31,2018-04-03T16:20:00.2310+00:00,2018-04-03,0.4602480000000001,1.0375384821441767
32,2018-04-03T16:50:00.2940+00:00,2018-04-03,0.4602480000000001,0.9873964545906233
75,2018-04-10T00:20:00.1770+00:00,2018-04-10,1.240536,1.5624377681774089
116,2018-04-15T18:50:00.3260+00:00,2018-04-15,0.8290560000000001,0.8165776159712106
14,2018-05-14T18:20:00.1820+00:00,2018-05-14,0.810768,0.7190560317658559
15,2018-05-14T18:50:00.2840+00:00,2018-05-14,0.789432,0.7085409116342261
90,2018-06-05T15:18:59.2010+00:00,2018-06-05,0.560832,0.8523477489177189
91,2018-06-05T15:48:00.2920+00:00,2018-06-05,0.560832,1.0585564862665517
92,2018-06-05T16:20:00.1400+00:00,2018-06-05,0.521208,1.0683482876762813
2,2018-06-14T15:20:00.0480+00:00,2018-06-14,0.70104,1.2023154953329458
3,2018-06-14T15:50:00.4980+00:00,2018-06-14,0.710184,0.6753845481535565
58,2018-07-11T16:50:00.0120+00:00,2018-07-11,0.43891199999999997,0.7630992625309325
119,2018-08-12T14:45:14.0520+00:00,2018-08-12,0.618744,0.8638385521000993
6,2018-08-12T14:46:11.4610+00:00,2018-08-12,0.618744,1.0786689077503784
120,2018-08-12T15:20:00.1020+00:00,2018-08-12,0.649224,1.0226318947734958
7,2018-08-12T15:20:00.2310+00:00,2018-08-12,0.649224,0.8625899433116704
28,2018-08-13T16:50:00.0100+00:00,2018-08-13,0.6096,0.6448706809351163
18,2018-08-28T17:20:00.0260+00:00,2018-08-28,0.841248,1.1993611477776795
20,2018-09-02T16:50:00.0380+00:00,2018-09-02,0.9296399999999999,0.5948079372343145
21,2018-09-02T17:20:00.2890+00:00,2018-09-02,0.841248,0.6158376824801515
22,2018-09-02T17:50:00.3870+00:00,2018-09-02,0.7802880000000001,0.7146310913386804
80,2018-09-10T17:50:00.0050+00:00,2018-09-10,0.8991600000000001,0.5841015816402688
81,2018-09-10T18:20:00.3870+00:00,2018-09-10,0.938784,0.8228902766879509
117,2018-09-12T01:20:00.1360+00:00,2018-09-12,0.841248,0.8127821196378902
118,2018-09-12T01:50:00.3600+00:00,2018-09-12,0.8808720000000001,1.6038634563414487
29,2018-09-14T14:50:00.0650+00:00,2018-09-14,0.8595360000000001,1.5673086542907049
30,2018-09-14T15:20:00.3940+00:00,2018-09-14,0.8808720000000001,1.3508614219145345
44,2018-10-22T16:20:00.0720+00:00,2018-10-22,0.618744,0.6829380913342691
45,2018-10-22T16:50:00.3590+00:00,2018-10-22,0.600456,0.6477656151354534
23,2018-10-31T15:50:00.1550+00:00,2018-10-31,1.118616,1.3027457466909196
86,2018-11-04T21:20:00.1940+00:00,2018-11-04,0.6096,0.5524388319879554
87,2018-11-04T21:50:00.3430+00:00,2018-11-04,0.560832,0.3411777305185133
67,2018-11-09T19:21:48.9980+00:00,2018-11-09,0.43891199999999997,0.5148643511667128
36,2019-01-04T17:20:00.0200+00:00,2019-01-04,0.420624,0.47600574968435705
37,2019-01-04T17:50:00.3740+00:00,2019-01-04,0.4114800000000001,0.4971582422474885
127,2019-01-04T18:50:00.0520+00:00,2019-01-04,0.4114800000000001,1.4399603731173736
128,2019-01-04T19:20:00.4040+00:00,2019-01-04,0.381,1.105771233683667
88,2019-02-08T17:50:00.0020+00:00,2019-02-08,0.469392,0.6547496605545211
4,2019-05-29T15:50:00.0170+00:00,2019-05-29,1.069848,1.3064841571077652
5,2019-05-29T16:20:00.2660+00:00,2019-05-29,1.1795760000000002,2.113435594035099
48,2019-06-15T20:20:00.1800+00:00,2019-06-15,0.569976,1.3299820130016835
74,2019-06-15T20:20:00.2100+00:00,2019-06-15,0.569976,0.8123148160948901
