time (UTC),pressure (dbar),pressure_flagPrimary,temperature (celsius),temperature_flagPrimary,chlorophyll (ug/L),chlorophyll_flagPrimary,salinity (1e-3),salinity_flagPrimary
2021-04-24T08:02:18Z,2.927,1,16.7231,1,44.2626,1,33.6096,1
2021-04-24T08:06:18Z,2.801,1,16.7298,1,43.92124,1,33.6082,1
2021-04-24T08:10:18Z,2.896,1,16.724,1,44.02732,1,33.6087,1
2021-04-24T08:14:18Z,2.81,1,16.6849,1,44.51692,1,33.61,1
2021-04-24T08:18:18Z,2.88,1,16.6607,1,44.1334,1,33.6104,1
2021-04-24T08:22:18Z,2.801,1,16.6633,1,44.181,1,33.6086,1
2021-04-24T08:26:18Z,2.808,1,16.6638,1,44.53052,1,33.6092,1
2021-04-24T08:30:18Z,2.844,1,16.6556,1,44.43532,1,33.6085,1
2021-04-24T08:34:18Z,2.871,1,16.6444,1,44.61756,1,33.6082,1
2021-04-24T08:38:18Z,2.874,1,16.6342,1,44.38228,1,33.6079,1
2021-04-24T08:42:18Z,2.788,1,16.6271,1,44.5618,1,33.6086,1
2021-04-24T08:46:18Z,2.785,1,16.6323,1,44.68012,1,33.6079,1
2021-04-24T08:50:18Z,2.878,1,16.6308,1,44.5142,1,33.6086,1
2021-04-24T08:54:18Z,2.802,1,16.6219,1,44.66652,1,33.6092,1
2021-04-24T08:58:18Z,2.735,1,16.6261,1,44.49788,1,33.6108,1
2021-04-24T09:02:18Z,2.814,1,16.6285,1,44.43396,1,33.6093,1
2021-04-24T09:06:18Z,2.699,1,16.6221,1,44.26124,1,33.6103,1
2021-04-24T09:10:18Z,2.811,1,16.6195,1,44.4734,1,33.6101,1
2021-04-24T09:14:18Z,2.842,1,16.623,1,44.56996,1,33.6087,1
2021-04-24T09:18:18Z,2.771,1,16.6243,1,44.63524,1,33.6091,1
2021-04-24T09:22:18Z,2.796,1,16.6214,1,44.487,1,33.6096,1
2021-04-24T09:26:18Z,2.866,1,16.6174,1,44.419,1,33.6078,1
2021-04-24T09:30:18Z,2.853,1,16.6057,1,44.4734,1,33.6094,1
2021-04-24T09:34:18Z,2.801,1,16.6071,1,44.5006,1,33.6099,1
2021-04-24T09:38:18Z,2.882,1,16.6123,1,44.87188,1,33.6115,1
2021-04-24T09:42:18Z,2.835,1,16.6124,1,44.64612,1,33.6122,1
2021-04-24T09:46:18Z,2.871,1,16.6132,1,44.69508,1,33.6099,1
2021-04-24T09:50:18Z,2.884,1,16.6106,1,44.76444,1,33.6099,1
2021-04-24T09:54:18Z,2.822,1,16.6107,1,44.66924,1,33.6103,1
2021-04-24T09:58:18Z,2.912,1,16.6004,1,44.64068,1,33.6094,1
2021-04-24T10:02:18Z,2.93,1,16.5921,1,44.77532,1,33.6083,1
2021-04-24T10:06:18Z,2.923,1,16.5814,1,44.90316,1,33.6028,1
2021-04-24T10:10:18Z,2.955,1,16.5838,1,44.94396,1,33.6067,1
2021-04-24T10:14:18Z,2.892,1,16.5759,1,45.02964,1,33.6047,1
2021-04-24T10:18:18Z,2.934,1,16.5746,1,44.81748,1,33.6061,1
2021-04-24T10:22:18Z,2.968,1,16.5649,1,45.0718,1,33.6068,1
