,type_name,time,temp,wet,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,lat,lon,batt_v
898,TEMP+IMUx3,0.9,17.4296875,1.0,0.05810546875,0.990234375,-0.201171875,-0.15,-0.15,-0.15,-11.0626220703125,-6.0882568359375,-0.7781982421875,,,3.922
899,TEMP+IMUx3,2.0,17.4375,1.0,0.097900390625,1.017578125,-0.03564453125,-0.15,-0.15,-0.15,-9.98687744140625,-5.11932373046875,4.5013427734375,,,3.922
900,TEMP+IMUx3,3.0,17.5078125,1.0,0.011962890625,0.9423828125,0.0673828125,-0.15,-0.15,-0.15,7.13348388671875,-7.36236572265625,6.561279296875,,,3.922
901,TEMP+IMUx3,4.0,17.5078125,1.0,0.06298828125,1.013671875,-0.072998046875,-0.15,-0.15,-0.15,-11.78741455078125,-1.01470947265625,-3.27301025390625,,,3.922
902,TEMP+IMUx3,5.0,17.46875,1.0,0.0224609375,1.09716796875,0.022705078125,-0.15,-0.15,-0.15,6.52313232421875,7.98797607421875,-7.75909423828125,,,3.922
904,TEMP+IMUx3,6.0,17.4765625,1.0,0.074951171875,0.84912109375,0.228271484375,-0.15,-0.15,-0.15,31.48651123046875,5.59234619140625,2.61688232421875,,,3.925
905,TEMP+IMUx3,7.0,17.4609375,1.0,0.048828125,1.030029296875,-0.065673828125,-0.15,-0.15,-0.15,30.57861328125,-14.67132568359375,-0.48828125,,,3.925
906,TEMP+IMUx3,8.0,17.5078125,1.0,0.062744140625,1.009033203125,-0.12060546875,-0.15,-0.15,-0.15,-7.6141357421875,-2.9449462890625,4.81414794921875,,,3.925
907,TEMP+IMUx3,9.0,17.5390625,1.0,0.065673828125,0.89013671875,-0.10546875,-0.15,-0.15,-0.15,13.02337646484375,-4.8065185546875,13.37432861328125,,,3.925
908,TEMP+IMUx3,9.9,17.5,1.0,0.08056640625,1.02001953125,-0.189453125,20.4,39.75,-19.5,15.68603515625,-10.38360595703125,-12.5274658203125,,,3.925
909,TEMP+IMUx3,11.0,17.5234375,1.0,0.0751953125,1.00732421875,-0.1650390625,-0.15,-0.15,-0.15,-2.78472900390625,1.22833251953125,7.22503662109375,,,3.925
910,TEMP+IMUx3,12.0,17.5546875,1.0,0.067138671875,1.061279296875,-0.0927734375,23.4,38.55,-18.45,13.9923095703125,8.30841064453125,-2.23541259765625,,,3.925
911,TEMP+IMUx3,13.0,17.546875,1.0,0.038330078125,0.919677734375,0.092529296875,-0.15,-0.15,-0.15,3.021240234375,4.669189453125,13.83209228515625,,,3.925
912,TEMP+IMUx3,14.0,17.5,1.0,0.0537109375,1.040771484375,0.150390625,-0.15,-0.15,-0.15,26.26800537109375,-12.39776611328125,-6.256103515625,,,3.925
913,TEMP+IMUx3,15.0,17.609375,1.0,0.04541015625,0.988037109375,0.216796875,-0.15,-0.15,-0.15,-20.4620361328125,2.5787353515625,-1.09100341796875,,,3.925
