UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2020-08-22T15:42:14.4580+00:00,29149,-30,411,298,-7,-22,-23,10,35,-29,N/A,N/A
2020-08-22T15:42:14.7150+00:00,29406,-57,424,308,-66,14,44,9,157,-121,N/A,N/A
2020-08-22T15:42:14.9140+00:00,29605,-58,425,296,-58,-21,160,20,160,-114,N/A,N/A
2020-08-22T15:42:15.1150+00:00,29806,12,373,226,-26,121,11,9,159,-127,N/A,N/A
2020-08-22T15:42:15.3640+00:00,30055,-90,428,356,-91,-82,-97,14,172,-130,N/A,N/A
2020-08-22T15:42:15.6150+00:00,30306,-11,400,304,26,-128,-10,-12,198,-132,N/A,N/A
2020-08-22T15:42:15.8150+00:00,30506,-37,408,351,110,-124,-95,-13,177,-133,N/A,N/A
2020-08-22T15:42:16.0150+00:00,30706,20,347,332,185,-156,-186,-21,165,-125,N/A,N/A
2020-08-22T15:42:16.2140+00:00,30905,-27,385,370,51,-141,-34,-28,166,-124,N/A,N/A
2020-08-22T15:42:16.4650+00:00,31156,-13,468,310,340,63,59,-34,138,-114,N/A,N/A
2020-08-22T15:42:16.6650+00:00,31356,15,448,276,175,-151,19,-48,112,-104,N/A,N/A
2020-08-22T15:42:16.9140+00:00,31605,16,422,227,-141,-11,65,-53,113,-95,N/A,N/A
2020-08-22T15:42:17.1650+00:00,31856,33,432,239,-232,-251,-224,-63,129,-107,N/A,N/A
2020-08-22T15:42:17.4150+00:00,32106,22,386,243,69,53,-133,-90,142,-110,N/A,N/A
2020-08-22T15:42:17.6150+00:00,32306,7,385,281,-93,-26,154,-68,138,-106,N/A,N/A
2020-08-22T15:42:17.8650+00:00,32556,119,405,151,133,245,-508,-71,115,-95,N/A,N/A
2020-08-22T15:42:18.1140+00:00,32805,-215,606,251,521,94,-74,-45,89,-97,N/A,N/A
2020-08-22T15:42:18.3650+00:00,33056,-115,546,165,44,-221,-173,-37,75,-73,N/A,N/A
2020-08-22T15:42:18.6140+00:00,33305,-160,445,273,-51,195,115,-53,89,-77,N/A,N/A
2020-08-22T15:42:18.8150+00:00,33506,-123,376,139,-69,488,208,-60,96,-90,N/A,N/A
2020-08-22T15:42:19.0650+00:00,33756,-113,505,200,100,732,239,-5,71,-61,N/A,N/A
2020-08-22T15:42:19.2640+00:00,33955,-79,615,-140,-267,168,233,31,57,-59,N/A,N/A
2020-08-22T15:42:19.5150+00:00,34206,10,579,72,838,623,-216,49,49,-17,N/A,N/A
2020-08-22T15:42:19.7650+00:00,34456,4,419,81,-284,-50,-27,84,38,20,N/A,N/A
2020-08-22T15:42:20.0150+00:00,34706,-145,562,-81,-123,-213,-360,75,47,-15,N/A,N/A
2020-08-22T15:42:20.2650+00:00,34956,-160,351,-39,-214,269,351,78,50,-10,N/A,N/A
2020-08-22T15:42:20.5150+00:00,35206,-49,487,202,7,264,34,78,52,-24,N/A,N/A
2020-08-22T15:42:20.7650+00:00,35456,-83,498,103,-232,71,-81,87,57,-29,N/A,N/A
2020-08-22T15:42:21.0150+00:00,35706,-214,494,-32,176,942,60,113,67,11,N/A,N/A
2020-08-22T15:42:21.2650+00:00,35956,-271,426,122,-328,1186,311,152,70,70,N/A,N/A
2020-08-22T15:42:21.5150+00:00,36206,-192,468,34,-140,520,-20,160,60,132,N/A,N/A
2020-08-22T15:42:21.7640+00:00,36455,-297,438,78,8,550,-145,185,85,193,N/A,N/A
2020-08-22T15:42:21.9650+00:00,36656,-140,500,188,-212,298,-8,154,76,220,N/A,N/A
2020-08-22T15:42:22.2150+00:00,36906,-99,521,66,6,-288,-33,159,73,193,N/A,N/A
2020-08-22T15:42:22.4640+00:00,37155,-129,525,87,307,-533,171,172,88,168,N/A,N/A
2020-08-22T15:42:22.7150+00:00,37406,-278,524,37,-151,-629,149,190,92,116,N/A,N/A
2020-08-22T15:42:22.9650+00:00,37656,-217,373,93,225,-1019,18,146,88,12,N/A,N/A
2020-08-22T15:42:23.2140+00:00,37905,-137,669,98,318,-796,467,54,48,-44,N/A,N/A
2020-08-22T15:42:23.4150+00:00,38106,-145,447,49,336,83,-239,47,35,-7,N/A,N/A
2020-08-22T15:42:23.6640+00:00,38355,34,512,177,-120,-244,161,36,30,-12,N/A,N/A
2020-08-22T15:42:23.9150+00:00,38606,-152,507,-20,-278,-535,34,19,35,-19,N/A,N/A
2020-08-22T15:42:24.1650+00:00,38856,-105,497,-55,445,-407,35,-32,30,-6,N/A,N/A
2020-08-22T15:42:24.3640+00:00,39055,-76,365,16,96,-328,292,-46,6,26,N/A,N/A
2020-08-22T15:42:24.6150+00:00,39306,-203,512,118,307,-1091,-302,-92,16,20,N/A,N/A
2020-08-22T15:42:24.8650+00:00,39556,-93,550,28,-41,-526,-30,-104,2,80,N/A,N/A
2020-08-22T15:42:25.1140+00:00,39805,-230,475,-91,4,-28,228,-111,15,85,N/A,N/A
2020-08-22T15:42:25.3640+00:00,40055,-62,493,-63,203,747,-158,-123,33,57,N/A,N/A
2020-08-22T15:42:25.6150+00:00,40306,-39,460,52,-53,855,170,-94,26,14,N/A,N/A
2020-08-22T15:42:25.8650+00:00,40556,-32,498,-138,-75,697,-339,-49,33,-29,N/A,N/A
2020-08-22T15:42:26.1150+00:00,40806,-119,565,41,-61,815,252,9,25,-21,N/A,N/A
2020-08-22T15:42:26.3150+00:00,41006,-36,360,-47,10,456,106,36,26,-4,N/A,N/A
2020-08-22T15:42:26.5640+00:00,41255,-39,634,92,-394,-200,-272,43,43,-21,N/A,N/A
2020-08-22T15:42:26.8140+00:00,41505,-49,457,66,-83,57,-66,70,56,-36,N/A,N/A
2020-08-22T15:42:27.0650+00:00,41756,-101,632,-58,-133,150,98,45,49,-39,N/A,N/A
2020-08-22T15:42:27.2640+00:00,41955,-120,254,24,351,221,-66,51,39,-19,N/A,N/A
2020-08-22T15:42:27.5150+00:00,42206,-111,587,52,11,-182,-98,59,29,-7,N/A,N/A
2020-08-22T15:42:27.7650+00:00,42456,-8,437,146,-198,-134,289,38,28,-30,N/A,N/A
2020-08-22T15:42:28.0150+00:00,42706,17,601,-159,-43,-75,24,7,33,-25,N/A,N/A
2020-08-22T15:42:28.2650+00:00,42956,-89,351,36,-67,143,367,11,47,-45,N/A,N/A
2020-08-22T15:42:28.5150+00:00,43206,20,512,61,194,-308,16,3,27,-27,N/A,N/A
2020-08-22T15:42:28.7650+00:00,43456,83,391,140,70,-292,180,-11,51,-49,N/A,N/A
2020-08-22T15:42:28.9650+00:00,43656,-113,587,-142,126,321,-129,-16,42,-22,N/A,N/A
2020-08-22T15:42:29.2150+00:00,43906,-59,347,27,-45,457,349,26,34,-16,N/A,N/A
2020-08-22T15:42:29.4640+00:00,44155,-119,286,-105,212,-290,717,-6,6,4,N/A,N/A
2020-08-22T15:42:29.7150+00:00,44406,73,505,228,-499,-142,-40,11,61,-47,N/A,N/A
2020-08-22T15:42:29.9650+00:00,44656,-220,555,-165,147,51,-131,-3,35,-29,N/A,N/A
2020-08-22T15:42:30.2140+00:00,44905,-30,336,-18,-26,456,627,29,37,-19,N/A,N/A
2020-08-22T15:42:30.4650+00:00,45156,46,573,151,117,-142,311,26,40,-36,N/A,N/A
2020-08-22T15:42:30.5900+00:00,45281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285471,-11725944
2020-08-22T15:42:30.7150+00:00,45406,-16,433,142,-2,-335,226,25,43,-27,N/A,N/A
2020-08-22T15:42:30.9650+00:00,45656,-37,675,-103,30,196,-415,11,43,-35,N/A,N/A
2020-08-22T15:42:31.2150+00:00,45906,-54,236,-59,-31,468,414,47,39,-19,N/A,N/A
2020-08-22T15:42:31.4640+00:00,46155,-29,388,5,-46,-529,135,30,42,-28,N/A,N/A
2020-08-22T15:42:31.7150+00:00,46406,57,438,267,-161,-177,491,65,73,-69,N/A,N/A
2020-08-22T15:42:31.9150+00:00,46606,-65,539,-78,344,1,-209,32,72,-60,N/A,N/A
2020-08-22T15:42:32.1650+00:00,46856,-163,412,165,5,1200,571,96,62,-6,N/A,N/A
2020-08-22T15:42:32.4150+00:00,47106,-154,430,106,400,47,169,115,41,53,N/A,N/A
2020-08-22T15:42:32.6640+00:00,47355,-42,539,351,-1008,814,-108,153,77,47,N/A,N/A
2020-08-22T15:42:32.9150+00:00,47606,-385,652,91,-65,509,-64,166,104,26,N/A,N/A
2020-08-22T15:42:33.1650+00:00,47856,-162,392,143,361,353,226,170,72,86,N/A,N/A
2020-08-22T15:42:33.4140+00:00,48105,-51,434,68,151,-145,27,158,60,132,N/A,N/A
2020-08-22T15:42:33.6640+00:00,48355,-282,397,49,772,-1082,243,146,70,44,N/A,N/A
2020-08-22T15:42:33.9150+00:00,48606,158,503,1,-266,-737,378,75,47,-5,N/A,N/A
2020-08-22T15:42:34.1650+00:00,48856,-316,462,-62,21,369,-21,127,65,11,N/A,N/A
2020-08-22T15:42:34.4140+00:00,49105,-115,489,6,-151,8,423,119,55,31,N/A,N/A
2020-08-22T15:42:34.6640+00:00,49355,-124,519,69,-424,200,239,122,60,18,N/A,N/A
2020-08-22T15:42:34.9150+00:00,49606,13,463,-148,-6,-187,333,72,48,-4,N/A,N/A
2020-08-22T15:42:35.1650+00:00,49856,-251,446,-57,60,964,-101,122,52,30,N/A,N/A
2020-08-22T15:42:35.4150+00:00,50106,-141,475,57,233,91,326,122,46,82,N/A,N/A
2020-08-22T15:42:35.6650+00:00,50356,-209,551,100,-216,-393,-201,126,58,66,N/A,N/A
2020-08-22T15:42:35.9150+00:00,50606,-103,460,-281,192,-542,-362,107,31,23,N/A,N/A
2020-08-22T15:42:36.0000+00:00,50691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285477,-11725946
2020-08-22T15:42:36.1640+00:00,50855,-284,416,-55,412,590,-146,136,60,28,N/A,N/A
2020-08-22T15:42:36.4150+00:00,51106,-98,435,-3,-26,439,26,139,51,87,N/A,N/A
2020-08-22T15:42:36.6650+00:00,51356,-76,512,48,-333,-720,-114,124,54,32,N/A,N/A
2020-08-22T15:42:36.9150+00:00,51606,-30,468,30,97,-730,97,74,68,-28,N/A,N/A
2020-08-22T15:42:37.1150+00:00,51806,-347,746,169,87,42,-350,68,56,-42,N/A,N/A
2020-08-22T15:42:37.3650+00:00,52056,-45,342,68,-33,553,274,91,59,-9,N/A,N/A
2020-08-22T15:42:37.6150+00:00,52306,10,614,92,-374,-1692,917,55,45,-17,N/A,N/A
